,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
league,season,team,player,,,,,,,,,,,,,,,
INT-World Cup,2014,Côte d'Ivoire,Giovanni Sio,Côte d'Ivoire,"FW,MF",25,1989,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Ismaël Diomandé,Côte d'Ivoire,MF,21,1992,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Kolo Touré,Côte d'Ivoire,DF,33,1981,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Mathis Bolly,Côte d'Ivoire,"FW,MF",23,1990,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Max Gradel,Côte d'Ivoire,"FW,MF",26,1987,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Salomon Kalou,Côte d'Ivoire,"FW,MF",28,1985,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Serey Die,Côte d'Ivoire,MF,29,1984,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Serge Aurier,Côte d'Ivoire,"DF,MF",21,1992,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Sol Bamba,Côte d'Ivoire,DF,29,1985,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Wilfried Bony,Côte d'Ivoire,FW,25,1988,1.8,2,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Yaya Touré,Côte d'Ivoire,MF,31,1983,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Alexander Domínguez,Ecuador,GK,27,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Antonio Valencia,Ecuador,"DF,MF",28,1985,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Carlos Gruezo,Ecuador,MF,19,1995,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Christian Noboa,Ecuador,MF,29,1985,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Enner Valencia,Ecuador,"FW,MF",24,1989,3.0,3,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Felipe Caicedo,Ecuador,"FW,MF",25,1988,1.7,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Frickson Erazo,Ecuador,DF,26,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Gabriel Achilier,Ecuador,DF,29,1985,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Jefferson Montero,Ecuador,"FW,MF",24,1989,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Joao Rojas,Ecuador,"FW,MF",25,1989,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Jorge Guagua,Ecuador,DF,32,1981,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Juan Carlos Paredes,Ecuador,"DF,MF",26,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Michael Arroyo,Ecuador,"FW,MF",27,1987,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Oswaldo Minda,Ecuador,MF,30,1983,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Renato Ibarra,Ecuador,"FW,MF",23,1991,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Walter Ayoví,Ecuador,"DF,MF",34,1979,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ecuador,Édison Méndez,Ecuador,MF,35,1979,0.1,0,,,,,,,,0,0
INT-World Cup,2014,England,Adam Lallana,England,"FW,MF",26,1988,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Ben Foster,England,GK,31,1983,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Chris Smalling,England,DF,24,1989,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Daniel Sturridge,England,"FW,MF",24,1989,2.9,1,,,,,,,,0,0
INT-World Cup,2014,England,Danny Welbeck,England,"FW,MF",23,1990,1.4,0,,,,,,,,0,0
INT-World Cup,2014,England,Frank Lampard,England,MF,35,1978,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Gary Cahill,England,DF,28,1985,3.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Glen Johnson,England,DF,29,1984,2.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Jack Wilshere,England,MF,22,1992,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,James Milner,England,"DF,MF",28,1986,0.8,0,,,,,,,,0,0
INT-World Cup,2014,England,Joe Hart,England,GK,27,1987,2.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Jordan Henderson,England,MF,23,1990,1.8,0,,,,,,,,0,0
INT-World Cup,2014,England,Leighton Baines,England,DF,29,1984,2.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Luke Shaw,England,"DF,MF",18,1995,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Phil Jagielka,England,"DF,MF",31,1982,2.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Phil Jones,England,"DF,MF",22,1992,1.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Raheem Sterling,England,"FW,MF",19,1994,2.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Rickie Lambert,England,FW,32,1982,0.0,0,,,,,,,,0,0
INT-World Cup,2014,England,Ross Barkley,England,MF,20,1993,1.6,0,,,,,,,,0,0
INT-World Cup,2014,England,Steven Gerrard,England,MF,34,1980,2.2,0,,,,,,,,0,0
INT-World Cup,2014,England,Wayne Rooney,England,"FW,MF",28,1985,2.2,1,,,,,,,,0,0
INT-World Cup,2014,France,Antoine Griezmann,France,"FW,MF",23,1991,3.3,0,,,,,,,,0,0
INT-World Cup,2014,France,Bacary Sagna,France,DF,31,1983,1.0,0,,,,,,,,0,0
INT-World Cup,2014,France,Blaise Matuidi,France,MF,27,1987,4.7,1,,,,,,,,0,0
INT-World Cup,2014,France,Hugo Lloris,France,GK,27,1986,5.0,0,,,,,,,,0,0
INT-World Cup,2014,France,Karim Benzema,France,FW,26,1987,5.0,3,,,,,,,,1,2
INT-World Cup,2014,France,Laurent Koscielny,France,DF,28,1985,2.5,0,,,,,,,,0,0
INT-World Cup,2014,France,Loïc Rémy,France,FW,27,1987,0.3,0,,,,,,,,0,0
INT-World Cup,2014,France,Lucas Digne,France,"DF,MF",20,1993,1.0,0,,,,,,,,0,0
INT-World Cup,2014,France,Mamadou Sakho,France,DF,24,1990,3.2,0,,,,,,,,0,0
INT-World Cup,2014,France,Mathieu Debuchy,France,DF,28,1985,4.0,0,,,,,,,,0,0
INT-World Cup,2014,France,Mathieu Valbuena,France,"FW,MF",29,1984,3.7,1,,,,,,,,0,0
INT-World Cup,2014,France,Morgan Schneiderlin,France,MF,24,1989,1.0,0,,,,,,,,0,0
INT-World Cup,2014,France,Moussa Sissoko,France,MF,24,1989,2.4,1,,,,,,,,0,0
INT-World Cup,2014,France,Olivier Giroud,France,FW,27,1986,1.8,1,,,,,,,,0,0
INT-World Cup,2014,France,Patrice Evra,France,DF,33,1981,4.0,0,,,,,,,,0,0
INT-World Cup,2014,France,Paul Pogba,France,MF,21,1993,3.9,1,,,,,,,,0,0
INT-World Cup,2014,France,Raphaël Varane,France,"DF,MF",21,1993,4.3,0,,,,,,,,0,0
INT-World Cup,2014,France,Rio Mavuba,France,MF,30,1984,0.3,0,,,,,,,,0,0
INT-World Cup,2014,France,Yohan Cabaye,France,MF,28,1986,3.5,0,,,,,,,,0,0
INT-World Cup,2014,Germany,André Schürrle,Germany,"FW,MF",23,1990,2.8,3,,,,,,,,0,0
INT-World Cup,2014,Germany,Bastian Schweinsteiger,Germany,"DF,MF",29,1984,5.6,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Benedikt Höwedes,Germany,DF,26,1988,7.7,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Christoph Kramer,Germany,MF,23,1991,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Julian Draxler,Germany,"FW,MF",20,1993,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Jérôme Boateng,Germany,DF,25,1988,7.2,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Lukas Podolski,Germany,"FW,MF",29,1985,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Manuel Neuer,Germany,GK,28,1986,7.7,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Mario Götze,Germany,"FW,MF",22,1992,2.9,2,,,,,,,,0,0
INT-World Cup,2014,Germany,Mats Hummels,Germany,DF,25,1988,5.6,2,,,,,,,,0,0
INT-World Cup,2014,Germany,Mesut Özil,Germany,MF,25,1988,7.2,1,,,,,,,,0,0
INT-World Cup,2014,Germany,Miroslav Klose,Germany,FW,36,1978,3.1,2,,,,,,,,0,0
INT-World Cup,2014,Germany,Per Mertesacker,Germany,DF,29,1984,4.8,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Philipp Lahm,Germany,"DF,MF",30,1983,7.7,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Sami Khedira,Germany,MF,27,1987,4.2,1,,,,,,,,0,0
INT-World Cup,2014,Germany,Shkodran Mustafi,Germany,DF,22,1992,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Germany,Thomas Müller,Germany,"FW,MF",24,1989,7.6,5,,,,,,,,1,1
INT-World Cup,2014,Germany,Toni Kroos,Germany,MF,24,1990,7.7,2,,,,,,,,0,0
INT-World Cup,2014,Ghana,Abdul Majeed Waris,Ghana,"FW,MF",22,1991,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Adam Larsen Kwarasey,Ghana,GK,26,1987,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Afriyie Acquah,Ghana,MF,22,1992,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Albert Adomah,Ghana,"FW,MF",26,1987,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,André Ayew,Ghana,"FW,MF",24,1989,2.9,2,,,,,,,,0,0
INT-World Cup,2014,Ghana,Asamoah Gyan,Ghana,FW,28,1985,3.0,2,,,,,,,,0,0
INT-World Cup,2014,Ghana,Christian Atsu,Ghana,"FW,MF",22,1992,2.6,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Daniel Opare,Ghana,"DF,MF",23,1990,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Emmanuel Agyemang-Badu,Ghana,MF,23,1990,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Fatau Dauda,Ghana,GK,29,1985,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Harrison Afful,Ghana,"DF,MF",27,1986,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,John Boye,Ghana,DF,27,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Jonathan Mensah,Ghana,DF,23,1990,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Jordan Ayew,Ghana,"FW,MF",22,1991,1.3,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Kevin-Prince Boateng,Ghana,"FW,MF",27,1987,0.9,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Kwadwo Asamoah,Ghana,"DF,MF",25,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Michael Essien,Ghana,"DF,MF",31,1982,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Mohammed Rabiu,Ghana,MF,24,1989,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Sulley Muntari,Ghana,MF,29,1984,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Ghana,Wakaso,Ghana,MF,23,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Andreas Samaris,Greece,MF,25,1989,1.5,1,,,,,,,,0,0
INT-World Cup,2014,Greece,Dimitris Salpingidis,Greece,"FW,MF",32,1981,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Georgios Samaras,Greece,"FW,MF",29,1985,4.3,1,,,,,,,,1,1
INT-World Cup,2014,Greece,Giannis Fetfatzidis,Greece,MF,23,1990,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Giannis Maniatis,Greece,"DF,MF",27,1986,3.9,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Giorgos Karagounis,Greece,MF,37,1977,2.9,0,,,,,,,,0,0
INT-World Cup,2014,Greece,José Holebas,Greece,"DF,MF",29,1984,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Kostas Katsouranis,Greece,"DF,MF",34,1979,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Kostas Manolas,Greece,DF,23,1991,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Kostas Mitroglou,Greece,FW,26,1988,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Lazaros Christodoulopoulos,Greece,"FW,MF",27,1986,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Orestis Karnezis,Greece,GK,28,1985,3.6,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Panagiotis Glykos,Greece,GK,27,1986,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Panagiotis Kone,Greece,MF,26,1987,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Sokratis Papastathopoulos,Greece,DF,26,1988,4.3,1,,,,,,,,0,0
INT-World Cup,2014,Greece,Theofanis Gekas,Greece,FW,34,1980,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Greece,Vasilis Torosidis,Greece,"DF,MF",29,1985,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Andy Najar,Honduras,"DF,MF",21,1993,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Boniek García,Honduras,"DF,MF",29,1984,2.2,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Brayan Beckeles,Honduras,DF,28,1985,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Carlo Costly,Honduras,FW,31,1982,2.4,1,,,,,,,,0,0
INT-World Cup,2014,Honduras,Emilio Izaguirre,Honduras,DF,28,1986,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Jerry Bengtson,Honduras,FW,27,1987,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Jerry Palacios,Honduras,FW,32,1982,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Jorge Claros,Honduras,MF,28,1986,2.4,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Juan Carlos García,Honduras,DF,26,1988,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Luis Garrido,Honduras,"FW,MF",23,1990,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Mario Martínez,Honduras,MF,24,1989,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Marvin Chávez,Honduras,"FW,MF",30,1983,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Maynor Figueroa,Honduras,DF,31,1983,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Noel Valladares,Honduras,GK,37,1977,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Osman Chávez,Honduras,DF,29,1984,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Roger Espinoza,Honduras,"DF,MF",27,1986,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Víctor Bernárdez,Honduras,DF,32,1982,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Honduras,Wilson Palacios,Honduras,MF,29,1984,1.5,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Alireza Haghighi,IR Iran,GK,26,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Alireza Jahanbakhsh,IR Iran,"FW,MF",20,1993,0.5,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Amir Hossein Sadeghi,IR Iran,DF,32,1981,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Andranik Teymourian,IR Iran,MF,31,1983,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Ashkan Dejagah,IR Iran,"FW,MF",27,1986,2.5,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Ehsan Hajsafi,IR Iran,"DF,MF",24,1990,2.7,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Jalal Hosseini,IR Iran,DF,32,1982,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Javad Nekounam,IR Iran,MF,33,1980,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Karim Ansarifard,IR Iran,FW,24,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Khosro Heydari,IR Iran,"DF,MF",30,1983,1.6,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Masoud Shojaei,IR Iran,MF,30,1984,1.4,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Mehrdad Pooladi,IR Iran,"DF,MF",27,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Pejman Montazeri,IR Iran,"DF,MF",30,1983,3.0,0,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Reza Ghoochannejad,IR Iran,"FW,MF",26,1987,3.0,1,,,,,,,,0,0
INT-World Cup,2014,IR Iran,Reza Haghighi,IR Iran,MF,25,1989,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Alessio Cerci,Italy,"FW,MF",26,1987,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Andrea Barzagli,Italy,DF,33,1981,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Andrea Pirlo,Italy,MF,35,1979,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Antonio Candreva,Italy,"FW,MF",27,1987,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Antonio Cassano,Italy,FW,31,1982,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Ciro Immobile,Italy,FW,24,1990,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Claudio Marchisio,Italy,MF,28,1986,2.4,1,,,,,,,,0,0
INT-World Cup,2014,Italy,Daniele De Rossi,Italy,"DF,MF",30,1983,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Gabriel Paletta,Italy,DF,28,1986,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Gianluigi Buffon,Italy,GK,36,1978,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Giorgio Chiellini,Italy,DF,29,1984,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Ignazio Abate,Italy,"DF,MF",27,1986,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Leonardo Bonucci,Italy,DF,27,1987,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Lorenzo Insigne,Italy,"FW,MF",23,1991,0.4,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Marco Parolo,Italy,MF,29,1985,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Marco Verratti,Italy,MF,21,1992,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Mario Balotelli,Italy,FW,23,1990,2.3,1,,,,,,,,0,0
INT-World Cup,2014,Italy,Matteo Darmian,Italy,"DF,MF",24,1989,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Mattia De Sciglio,Italy,"DF,MF",21,1992,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Salvatore Sirigu,Italy,GK,27,1987,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Italy,Thiago Motta,Italy,MF,31,1982,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Atsuto Uchida,Japan,DF,26,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Eiji Kawashima,Japan,GK,31,1983,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Hiroshi Kiyotake,Japan,"FW,MF",24,1989,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Hotaru Yamaguchi,Japan,MF,23,1990,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Keisuke Honda,Japan,"FW,MF",28,1986,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Japan,Makoto Hasebe,Japan,"DF,MF",30,1984,2.1,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Masato Morishige,Japan,"DF,MF",27,1987,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Maya Yoshida,Japan,DF,25,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Shinji Kagawa,Japan,"FW,MF",25,1989,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Shinji Okazaki,Japan,"FW,MF",28,1986,2.8,1,,,,,,,,0,0
INT-World Cup,2014,Japan,Toshihiro Aoyama,Japan,MF,28,1986,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Yasuhito Endō,Japan,MF,34,1980,0.9,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Yasuyuki Konno,Japan,"DF,MF",31,1983,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Yoichiro Kakitani,Japan,"FW,MF",24,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Yoshito Ōkubo,Japan,"FW,MF",32,1982,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Yuya Osako,Japan,"FW,MF",24,1990,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Japan,Yūto Nagatomo,Japan,"DF,MF",27,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Han Kook-young,Korea Republic,MF,24,1990,2.4,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Hong Jeong-ho,Korea Republic,DF,24,1989,2.8,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Hwang Seok-ho,Korea Republic,DF,24,1989,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Ji Dong-won,Korea Republic,"FW,MF",23,1991,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Jung Sung-ryong,Korea Republic,GK,29,1985,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Ki Sung-yueng,Korea Republic,MF,25,1989,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Kim Bo-kyung,Korea Republic,MF,24,1989,0.4,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Kim Seung-gyu,Korea Republic,GK,23,1990,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Kim Shin-wook,Korea Republic,FW,26,1988,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Kim Young-gwon,Korea Republic,DF,24,1990,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Koo Ja-cheol,Korea Republic,MF,25,1989,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Lee Chung-yong,Korea Republic,"FW,MF",25,1988,2.7,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Lee Keun-ho,Korea Republic,"FW,MF",29,1985,1.2,1,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Lee Yong,Korea Republic,"DF,MF",27,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Park Chu-young,Korea Republic,"FW,MF",28,1985,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Son Heung-min,Korea Republic,"FW,MF",21,1992,2.7,1,,,,,,,,0,0
INT-World Cup,2014,Korea Republic,Yun Suk-young,Korea Republic,"DF,MF",24,1990,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Andrés Guardado,Mexico,"DF,FW",27,1986,3.7,1,,,,,,,,0,0
INT-World Cup,2014,Mexico,Carlos Peña,Mexico,MF,24,1990,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Carlos Salcido,Mexico,"DF,MF",34,1980,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Diego Reyes,Mexico,"DF,MF",21,1992,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Francisco Javier Rodríguez,Mexico,DF,32,1981,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Giovani dos Santos,Mexico,"FW,MF",25,1989,3.3,1,,,,,,,,0,0
INT-World Cup,2014,Mexico,Guillermo Ochoa,Mexico,GK,28,1985,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Héctor Herrera,Mexico,MF,24,1990,3.8,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Héctor Moreno,Mexico,DF,26,1988,3.5,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Javier Aquino,Mexico,"DF,MF",24,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Javier Hernández,Mexico,FW,26,1988,0.9,1,,,,,,,,0,0
INT-World Cup,2014,Mexico,José Juan Vázquez,Mexico,MF,26,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Marco Fabián,Mexico,"FW,MF",24,1989,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Miguel Layún,Mexico,"DF,MF",25,1988,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Oribe Peralta,Mexico,FW,30,1984,3.3,1,,,,,,,,0,0
INT-World Cup,2014,Mexico,Paul Aguilar,Mexico,DF,28,1986,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Mexico,Rafael Márquez,Mexico,"DF,MF",35,1979,4.0,1,,,,,,,,0,0
INT-World Cup,2014,Mexico,Raúl Jiménez,Mexico,FW,23,1991,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Arjen Robben,Netherlands,"FW,MF",30,1984,7.7,3,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Bruno Martins Indi,Netherlands,DF,22,1992,5.1,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Daley Blind,Netherlands,"DF,MF",24,1990,7.4,1,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Daryl Janmaat,Netherlands,DF,24,1989,4.1,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Dirk Kuyt,Netherlands,"DF,FW",33,1980,5.6,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Georginio Wijnaldum,Netherlands,"FW,MF",23,1990,6.1,1,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Jasper Cillessen,Netherlands,GK,25,1989,7.6,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Jeremain Lens,Netherlands,"FW,MF",26,1987,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Jonathan de Guzmán,Netherlands,MF,26,1987,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Jordy Clasie,Netherlands,MF,22,1991,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Joël Veltman,Netherlands,DF,22,1992,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Klaas-Jan Huntelaar,Netherlands,FW,30,1983,0.6,1,,,,,,,,1,1
INT-World Cup,2014,Netherlands,Leroy Fer,Netherlands,MF,24,1990,0.2,1,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Memphis,Netherlands,"FW,MF",20,1994,2.0,2,,,,,,,,0,0
INT-World Cup,2014,Netherlands,Michel Vorm,Netherlands,GK,30,1983,0.0,0,,,,,,,,0,0
