,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
league,season,team,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2014,Spain,22,28.0,56.0,3,33,270,3.0,4,3,7,3,1,1,3,0,1.33,1.0,2.33,1.0,2.0,/en/squads/b561dd30/2014/Spain-Men-Stats
INT-World Cup,2014,Switzerland,18,25.7,47.8,4,44,390,4.3,7,6,13,7,0,0,3,0,1.62,1.38,3.0,1.62,3.0,/en/squads/81021a70/2014/Switzerland-Men-Stats
INT-World Cup,2014,United States,19,29.0,44.8,4,44,390,4.3,5,4,9,5,0,0,4,0,1.15,0.92,2.08,1.15,2.08,/en/squads/0f66725b/2014/United-States-Men-Stats
INT-World Cup,2014,Uruguay,20,27.8,45.8,4,44,360,4.0,4,2,6,3,1,1,9,0,1.0,0.5,1.5,0.75,1.25,/en/squads/870e020f/2014/Uruguay-Men-Stats
INT-World Cup,2018,Argentina,20,29.6,65.8,4,44,360,4.0,6,6,12,6,0,1,11,0,1.5,1.5,3.0,1.5,3.0,/en/squads/f9fddd6e/2018/Argentina-Men-Stats
INT-World Cup,2018,Australia,15,27.7,51.7,3,33,270,3.0,2,0,2,0,2,2,7,0,0.67,0.0,0.67,0.0,0.0,/en/squads/b90bf4f9/2018/Australia-Men-Stats
INT-World Cup,2018,Belgium,21,27.7,52.7,7,77,630,7.0,15,12,27,14,1,1,11,0,2.14,1.71,3.86,2.0,3.71,/en/squads/361422b9/2018/Belgium-Men-Stats
INT-World Cup,2018,Brazil,18,28.2,58.4,5,55,450,5.0,8,7,15,8,0,0,7,0,1.6,1.4,3.0,1.6,3.0,/en/squads/304635c3/2018/Brazil-Men-Stats
INT-World Cup,2018,Colombia,20,26.8,50.8,4,44,390,4.3,6,5,11,6,0,0,9,1,1.38,1.15,2.54,1.38,2.54,/en/squads/ab73cfe5/2018/Colombia-Men-Stats
INT-World Cup,2018,Costa Rica,20,29.9,39.3,3,33,270,3.0,1,1,2,1,0,1,6,0,0.33,0.33,0.67,0.33,0.67,/en/squads/1ea5ab66/2018/Costa-Rica-Men-Stats
INT-World Cup,2018,Croatia,21,28.8,56.7,7,77,720,8.0,13,8,21,12,1,2,15,0,1.62,1.0,2.62,1.5,2.5,/en/squads/7b08e376/2018/Croatia-Men-Stats
INT-World Cup,2018,Denmark,20,26.9,43.5,4,44,390,4.3,3,3,6,3,0,0,6,0,0.69,0.69,1.38,0.69,1.38,/en/squads/29a4e4af/2018/Denmark-Men-Stats
INT-World Cup,2018,Egypt,16,28.9,43.3,3,33,270,3.0,2,1,3,1,1,1,5,0,0.67,0.33,1.0,0.33,0.67,/en/squads/b8889750/2018/Egypt-Men-Stats
INT-World Cup,2018,England,21,25.5,54.4,7,77,690,7.7,12,6,18,9,3,3,8,0,1.57,0.78,2.35,1.17,1.96,/en/squads/1862c019/2018/England-Men-Stats
INT-World Cup,2018,France,21,25.5,48.0,7,77,630,7.0,12,6,18,9,3,3,12,0,1.71,0.86,2.57,1.29,2.14,/en/squads/b1b36dcd/2018/France-Men-Stats
